caseid,curweek,curyear,received_job_offers,how_many_job_offers,offered_wage,previous_wage,acceptance_yn
120019070,42,2009,Yes,3.0,9.0,13.0,n
120505878,42,2009,Yes,1.0,11.0,11.0,y
120777105,45,2009,Yes,,24.03846153846154,36.05769230769231,n
120821532,51,2009,Yes,1.0,23.55,28.5,y
120918292,48,2009,Yes,1.0,13.0,13.0,y
122319761,50,2009,Yes,1.0,15.0,12.0,y
123147783,51,2009,Yes,1.0,17.307692307692307,19.23076923076923,y
124460119,47,2009,Yes,1.0,25.0,25.0,y
124544820,45,2009,Yes,1.0,36.05769230769231,38.46153846153846,y
124591596,44,2009,Yes,,26.442307692307693,26.442307692307693,y
124957570,44,2009,Yes,1.0,8.5,8.0,y
124981476,52,2009,Yes,1.0,21.634615384615383,14.423076923076923,y
125196925,48,2009,Yes,1.0,18.0,18.0,y
125335212,43,2009,Yes,1.0,11.25,40.0,y
125447452,49,2009,Yes,1.0,8.5,8.0,y
125877112,44,2009,Yes,2.0,8.0,8.0,y
126573442,43,2009,Yes,,29.914529914529915,33.65384615384615,y
127466646,50,2009,Yes,1.0,24.03846153846154,21.634615384615383,y
127863490,43,2009,Yes,2.0,7.5,12.0,n
128398540,51,2009,Yes,2.0,12.5,8.0,n
128398540,52,2009,Yes,1.0,33.333333333333336,8.0,n
129092856,43,2009,Yes,1.0,7.25,14.0,y
129135146,43,2009,Yes,1.0,10.25,13.0,y
129491792,44,2009,Yes,,20.0,21.634615384615383,y
130621508,49,2009,Yes,1.0,25.0,17.0,y
131695702,45,2009,Yes,1.0,43.0,44.0,y
131844977,44,2009,Yes,1.0,11.0,20.0,n
132123608,42,2009,Yes,1.0,15.0,19.23076923076923,y
132278238,43,2009,Yes,1.0,17.0,30.28846153846154,y
132625368,44,2009,Yes,1.0,40.0,40.0,y
133119233,45,2009,Yes,,15.0,10.0,y
133204823,47,2009,Yes,,10.0,10.0,y
135392867,43,2009,Yes,4.0,10.0,15.0,y
135735802,53,2009,Yes,1.0,150.0,81.73076923076923,y
135869901,46,2009,Yes,1.0,14.375,15.0,n
135869901,47,2009,Yes,1.0,12.0,15.0,y
136463812,46,2009,Yes,1.0,17.0,17.0,y
136478009,46,2009,Yes,,18.0,18.0,y
137170964,44,2009,Yes,1.0,50.0,50.0,y
137815498,43,2009,Yes,1.0,7.5,21.634615384615383,n
138239332,47,2009,Yes,3.0,20.0,8.25,y
139454680,42,2009,Yes,1.0,7.5,19.23076923076923,y
140628135,49,2009,Yes,,15.384615384615385,16.826923076923077,y
141394978,48,2009,Yes,1.0,27.884615384615383,28.846153846153847,y
141472560,44,2009,Yes,1.0,23.0,26.442307692307693,n
141472560,45,2009,Yes,,23.0,26.442307692307693,n
143117502,43,2009,Yes,1.0,22.0,22.0,y
143495635,43,2009,Yes,1.0,24.03846153846154,24.03846153846154,y
143717193,46,2009,Yes,1.0,16.166666666666668,21.978021978021978,y
144111989,48,2009,Yes,1.0,38.46153846153846,28.846153846153847,y
144456082,42,2009,Yes,,7.5,7.0,y
145122252,42,2009,Yes,,25.0,35.0,y
145278760,44,2009,Yes,1.0,11.538461538461538,7.5,n
145278760,45,2009,Yes,1.0,6.666666666666667,6.666666666666667,n
145407371,47,2009,Yes,1.0,11.826923076923077,11.538461538461538,y
145631998,45,2009,Yes,1.0,39.23076923076923,43.26923076923077,y
145800907,50,2009,Yes,1.0,38.46153846153846,40.86538461538461,n
145816027,44,2009,Yes,1.0,19.23076923076923,24.03846153846154,y
146702538,52,2009,Yes,1.0,23.0,21.634615384615383,n
146923511,45,2009,Yes,1.0,8.0,14.285714285714286,n
147135810,43,2009,Yes,1.0,9.0,9.0,y
148320525,44,2009,Yes,1.0,25.0,21.634615384615383,y
149040907,43,2009,Yes,,31.73076923076923,30.76923076923077,y
149241551,43,2009,Yes,1.0,25.0,25.0,y
149424374,47,2009,Yes,1.0,9.0,15.0,y
150433769,47,2009,Yes,1.0,28.846153846153847,25.641025641025642,n
150433769,51,2009,Yes,2.0,24.03846153846154,22.435897435897434,y
150875679,45,2009,Yes,,35.714285714285715,28.846153846153847,n
150875679,47,2009,Yes,1.0,45.0,31.25,n
150875679,53,2009,Yes,,41.20879120879121,31.25,y
151561223,46,2009,Yes,,32.0,30.0,y
151831559,51,2009,Yes,1.0,16.3376,16.826923076923077,y
152452739,43,2009,Yes,2.0,22.435897435897434,23.076923076923077,y
152931304,49,2009,Yes,1.0,134.6153846153846,120.1923076923077,y
152979564,45,2009,Yes,1.0,30.0,33.65384615384615,n
152979564,2,2010,Yes,1.0,13.461538461538462,33.65384615384615,n
153809477,44,2009,Yes,,33.0,20.0,y
154311252,53,2009,Yes,,85.0,63.18681318681319,y
154355485,43,2009,Yes,1.0,40.0,40.0,y
154785897,43,2009,Yes,1.0,38.46153846153846,28.846153846153847,y
155388314,46,2009,Yes,1.0,11.0,14.0,n
155476884,45,2009,Yes,1.0,21.005128205128205,19.23076923076923,y
156498025,46,2009,Yes,1.0,56.73076923076923,43.26923076923077,n
156978792,51,2009,Yes,1.0,7.5,14.423076923076923,n
157112029,46,2009,Yes,1.0,14.423076923076923,15.0,n
157519255,42,2009,Yes,,51.92307692307692,54.94505494505494,y
158647179,42,2009,Yes,,25.0,25.0,y
158863911,42,2009,Yes,1.0,12.0,17.307692307692307,n
158952639,42,2009,Yes,1.0,8.15,10.0,y
159801969,49,2009,Yes,1.0,34.0,34.0,y
159995356,46,2009,Yes,1.0,25.0,24.03846153846154,y
160287543,45,2009,Yes,1.0,27.0,23.076923076923077,n
161314297,50,2009,Yes,1.0,10.35,20.0,y
161862532,44,2009,Yes,1.0,12.5,20.192307692307693,y
164634846,44,2009,Yes,1.0,20.192307692307693,21.634615384615383,y
166254587,43,2009,Yes,1.0,35.0,32.0,y
166899166,45,2009,Yes,1.0,39.9,39.9,y
167296056,51,2009,Yes,1.0,42.78846153846154,34.61538461538461,y
168032325,48,2009,Yes,1.0,19.71153846153846,19.23076923076923,n
168774339,46,2009,Yes,1.0,12.0,12.0,n
169081162,43,2009,Yes,1.0,11.0,10.0,y
169663281,51,2009,Yes,1.0,6.5,14.0,n
170247854,45,2009,Yes,1.0,26.442307692307693,24.03846153846154,y
170469366,43,2009,Yes,,10.0,13.0,n
170621030,43,2009,Yes,1.0,12.0,14.423076923076923,y
170882017,44,2009,Yes,1.0,10.25,15.0,y
173339231,42,2009,Yes,1.0,29.615384615384617,29.914529914529915,y
174979108,44,2009,Yes,1.0,31.185031185031185,,y
175809482,44,2009,Yes,1.0,50.0,31.185031185031185,y
175924750,47,2009,Yes,,,19.23076923076923,y
176005953,46,2009,Yes,,15.865384615384615,19.23076923076923,y
177476057,43,2009,Yes,1.0,11.0,12.0,y
179341689,45,2009,Yes,1.0,24.03846153846154,24.03846153846154,y
180513457,42,2009,Yes,1.0,30.0,36.0,y
180825385,44,2009,Yes,1.0,10.0,10.0,y
183479361,50,2009,Yes,1.0,14.0,19.23076923076923,y
183560452,46,2009,Yes,1.0,12.0,16.826923076923077,y
183961839,46,2009,Yes,,17.582417582417584,24.725274725274726,y
186054914,49,2009,Yes,1.0,41.88034188034188,38.46153846153846,y
187005629,44,2009,Yes,,20.833333333333332,19.23076923076923,y
187275134,45,2009,Yes,1.0,46.0,40.0,y
187333386,43,2009,Yes,,19.0,9.615384615384615,y
189308346,42,2009,Yes,1.0,28.846153846153847,28.846153846153847,y
190416528,45,2009,Yes,1.0,32.05128205128205,36.05769230769231,y
190758707,50,2009,Yes,1.0,18.5,12.98076923076923,n
191531639,46,2009,Yes,1.0,36.05769230769231,24.03846153846154,y
192132749,49,2009,Yes,,15.0,15.0,y
192233011,45,2009,Yes,1.0,26.923076923076923,26.923076923076923,y
192296740,44,2009,Yes,,16.85,15.0,y
193604430,52,2009,Yes,,23.653846153846153,23.557692307692307,y
193678228,50,2009,Yes,1.0,25.0,75.0,y
193841983,43,2009,Yes,1.0,21.634615384615383,26.442307692307693,y
193990371,42,2009,Yes,,14.423076923076923,29.807692307692307,n
194340988,52,2009,Yes,1.0,40.0,31.25,y
195118487,42,2009,Yes,1.0,21.634615384615383,21.634615384615383,y
195153532,42,2009,Yes,1.0,50.0,19.23076923076923,y
195222360,44,2009,Yes,2.0,38.46153846153846,45.0,y
195410415,44,2009,Yes,1.0,83.0,75.0,y
195675531,47,2009,Yes,1.0,48.07692307692308,48.07692307692308,y
196095099,43,2009,Yes,,84.13461538461539,,y
196712725,44,2009,Yes,1.0,30.0,30.21978021978022,y
198009715,43,2009,Yes,1.0,36.0,35.0,y
198212823,50,2009,Yes,1.0,31.25,32.69230769230769,y
198236593,52,2009,Yes,1.0,17.5,24.03846153846154,n
199848874,48,2009,Yes,1.0,17.628205128205128,16.025641025641026,y
199989634,42,2009,Yes,1.0,9.0,15.0,y
200013208,45,2009,Yes,1.0,20.0,19.23076923076923,y
200226440,45,2009,Yes,1.0,24.03846153846154,28.846153846153847,y
200533586,52,2009,Yes,1.0,71.15384615384616,57.69230769230769,y
200885845,50,2009,Yes,1.0,37.0,33.65384615384615,y
201272655,43,2009,Yes,1.0,52.88461538461539,40.86538461538461,y
201611900,44,2009,Yes,1.0,22.0,26.442307692307693,n
201611900,52,2009,Yes,1.0,,26.442307692307693,y
201738731,42,2009,Yes,1.0,14.0,19.23076923076923,n
201958656,43,2009,Yes,1.0,36.05769230769231,36.05769230769231,y
202570455,47,2009,Yes,1.0,48.07692307692308,48.07692307692308,y
202743862,46,2009,Yes,1.0,64.1025641025641,72.11538461538461,y
202970156,52,2009,Yes,1.0,90.0,57.69230769230769,y
203103223,49,2009,Yes,1.0,22.115384615384617,21.634615384615383,y
205270882,45,2009,Yes,1.0,59.61538461538461,57.69230769230769,y
207598854,44,2009,Yes,1.0,10.0,11.0,n
207653698,44,2009,Yes,,14.0,13.0,y
208423526,51,2009,Yes,,20.0,28.846153846153847,n
210877285,52,2009,Yes,2.0,68.5,67.3076923076923,y
211466358,44,2009,Yes,2.0,45.0,33.65384615384615,y
211843447,50,2009,Yes,1.0,15.0,14.423076923076923,y
212242676,43,2009,Yes,1.0,24.0,24.0,y
213474775,50,2009,Yes,1.0,42.30769230769231,31.25,y
214806854,43,2009,Yes,1.0,17.0,12.5,y
216231825,43,2009,Yes,1.0,7.0,11.0,y
216793952,46,2009,Yes,1.0,18.0,17.0,y
219513528,1,2010,Yes,,15.0,23.0,n
219712417,42,2009,Yes,1.0,8.0,15.0,n
219712417,43,2009,Yes,1.0,7.5,15.0,n
220337120,45,2009,Yes,2.0,107.6923076923077,78.67132867132867,y
221567643,48,2009,Yes,1.0,27.83400809716599,24.03846153846154,y
222235679,46,2009,Yes,1.0,21.634615384615383,21.634615384615383,y
222793421,45,2009,Yes,1.0,14.0,14.0,y
222964735,51,2009,Yes,1.0,33.0,28.846153846153847,y
223649804,50,2009,Yes,1.0,10.0,10.0,y
224406536,53,2009,Yes,1.0,61.53846153846154,57.69230769230769,y
225591048,42,2009,Yes,,47.11538461538461,47.11538461538461,y
225763218,43,2009,Yes,2.0,14.0,13.0,y
225872893,47,2009,Yes,1.0,39.5,31.25,y
225936603,43,2009,Yes,1.0,15.0,19.23076923076923,y
226335708,49,2009,Yes,1.0,17.19,12.0,y
226983369,51,2009,Yes,1.0,81.73076923076923,96.15384615384616,y
227167588,51,2009,Yes,1.0,125.0,396.63461538461536,y
227324673,48,2009,Yes,1.0,37.14,17.5,y
228060053,44,2009,Yes,1.0,15.0,15.0,y
228321840,44,2009,Yes,1.0,45.0,22.0,y
228953784,42,2009,Yes,2.0,10.0,19.23076923076923,n
228953784,51,2009,Yes,1.0,8.547008547008547,,n
230819722,42,2009,Yes,2.0,12.0,14.0,n
231039503,42,2009,Yes,1.0,15.0,15.0,y
231042710,42,2009,Yes,1.0,12.0,12.0,n
231042710,49,2009,Yes,,10.0,12.0,n
233490247,45,2009,Yes,1.0,19.23076923076923,17.094017094017094,y
234099917,1,2010,Yes,1.0,18.86,25.0,y
234238541,43,2009,Yes,,38.0,30.0,y
234730874,51,2009,Yes,1.0,8.0,12.0,y
235450807,42,2009,Yes,1.0,31.0,31.0,y
235580272,44,2009,Yes,1.0,52.88461538461539,48.07692307692308,y
235740630,44,2009,Yes,1.0,38.46153846153846,32.05128205128205,y
237687250,49,2009,Yes,1.0,16.666666666666668,14.0,y
238021567,45,2009,Yes,2.0,12.0,10.0,n
238021567,46,2009,Yes,1.0,11.0,10.0,n
238666911,43,2009,Yes,1.0,10.0,15.0,y
238680715,44,2009,Yes,1.0,12.820512820512821,26.442307692307693,n
238680715,45,2009,Yes,1.0,12.820512820512821,26.442307692307693,n
238709391,42,2009,Yes,1.0,30.0,25.0,y
238756753,51,2009,Yes,1.0,21.634615384615383,21.634615384615383,y
239420729,43,2009,Yes,1.0,12.0,18.0,n
240165963,44,2009,Yes,1.0,31.25,45.67307692307692,n
240412609,46,2009,Yes,,26.0,30.0,y
240598020,52,2009,Yes,1.0,20.76923076923077,19.23076923076923,y
241158630,45,2009,Yes,1.0,53.0,48.07692307692308,y
241448294,47,2009,Yes,2.0,72.0,75.0,y
241462313,50,2009,Yes,,33.65384615384615,53.84615384615385,n
243342491,43,2009,Yes,,10.0,14.957264957264957,y
243426191,45,2009,Yes,1.0,53.41880341880342,42.73504273504273,y
243664049,46,2009,Yes,,48.0,52.88461538461539,y
243971624,44,2009,Yes,1.0,55.0,28.846153846153847,y
245012037,43,2009,Yes,1.0,18.0,15.0,y
245770566,42,2009,Yes,1.0,26.442307692307693,23.076923076923077,y
245799758,51,2009,Yes,1.0,45.0,45.0,y
245818097,44,2009,Yes,,20.0,20.0,y
246879961,43,2009,Yes,,15.0,15.0,y
246972246,51,2009,Yes,1.0,75.0,60.0,y
247033841,47,2009,Yes,1.0,7.5,21.634615384615383,n
247132199,43,2009,Yes,1.0,60.0,38.46153846153846,y
247220827,45,2009,Yes,,16.0,16.0,y
247262249,44,2009,Yes,,40.0,40.86538461538461,y
247779589,42,2009,Yes,1.0,52.5,40.0,y
248428301,51,2009,Yes,1.0,22.0,28.846153846153847,n
250704086,2,2010,Yes,1.0,30.0,38.46153846153846,y
251313577,48,2009,Yes,1.0,2.5,12.5,y
251565149,44,2009,Yes,1.0,32.0,24.03846153846154,y
252863556,48,2009,Yes,1.0,10.0,18.0,y
254975686,52,2009,Yes,,7.25,10.0,y
255086185,49,2009,Yes,,20.0,15.0,y
255396527,42,2009,Yes,1.0,15.0,15.0,y
256968679,42,2009,Yes,,45.0,45.0,y
257480107,44,2009,Yes,1.0,72.11538461538461,72.11538461538461,y
257614689,42,2009,Yes,1.0,70.0,48.07692307692308,y
258440643,47,2009,Yes,1.0,15.0,25.0,n
258440643,49,2009,Yes,2.0,10.0,25.0,n
259311146,43,2009,Yes,,17.0,14.0,y
259903480,50,2009,Yes,1.0,7.5,10.0,n
262580205,43,2009,Yes,3.0,19.0,20.0,y
263269525,43,2009,Yes,1.0,8.0,8.0,y
263867619,46,2009,Yes,1.0,20.0,20.0,y
264145204,42,2009,Yes,1.0,10.5,10.5,y
264517421,47,2009,Yes,1.0,15.384615384615385,,y
265294806,45,2009,Yes,1.0,25.0,31.25,y
268002367,47,2009,Yes,1.0,33.46153846153846,33.46153846153846,y
268094267,46,2009,Yes,1.0,20.09,13.0,y
268993805,42,2009,Yes,1.0,13.375,16.346153846153847,y
269402441,44,2009,Yes,,13.0,15.0,y
271356598,42,2009,Yes,1.0,30.51816239316239,20.0,y
271872287,45,2009,Yes,1.0,20.0,20.0,y
272729267,43,2009,Yes,1.0,9.0,8.0,y
272797699,45,2009,Yes,1.0,10.0,10.0,y
273354228,49,2009,Yes,1.0,15.0,16.0,n
274026674,51,2009,Yes,1.0,38.46153846153846,38.46153846153846,y
274671186,42,2009,Yes,1.0,10.0,15.0,n
274671186,46,2009,Yes,1.0,12.0,15.0,n
275691088,43,2009,Yes,1.0,11.0,25.0,y
276427851,43,2009,Yes,1.0,90.0,70.0,y
278076842,44,2009,Yes,6.0,7.0,15.0,n
278326244,44,2009,Yes,,22.435897435897434,48.07692307692308,y
278367115,52,2009,Yes,1.0,21.5,24.03846153846154,y
279495118,43,2009,Yes,1.0,7.25,10.0,y
280386322,43,2009,Yes,2.0,9.0,10.5,y
281500376,52,2009,Yes,2.0,42.30769230769231,43.26923076923077,n
282745930,51,2009,Yes,1.0,3.2051282051282053,36.05769230769231,y
282789501,48,2009,Yes,1.0,50.0,50.0,y
283951985,50,2009,Yes,1.0,90.0,70.0,y
284523914,50,2009,Yes,1.0,8.0,20.833333333333332,y
284733951,1,2010,Yes,1.0,12.0,10.0,y
285369722,47,2009,Yes,1.0,31.25,31.25,y
285486878,49,2009,Yes,,26.2,23.0,y
285789661,46,2009,Yes,1.0,55.28846153846154,33.65384615384615,y
288068945,2,2010,Yes,1.0,7.5,21.0,n
288277600,43,2009,Yes,1.0,15.384615384615385,12.98076923076923,n
290891863,44,2009,Yes,2.0,25.0,30.0,n
291086916,44,2009,Yes,1.0,60.0,49.45054945054945,y
293127284,51,2009,Yes,1.0,7.5,7.5,y
293858689,42,2009,Yes,4.0,12.0,16.0,n
293858689,43,2009,Yes,3.0,12.0,16.0,n
293858689,44,2009,Yes,3.0,12.0,16.0,n
293858689,46,2009,Yes,3.0,12.0,16.0,n
293858689,47,2009,Yes,2.0,12.0,16.0,n
293858689,48,2009,Yes,2.0,12.0,16.0,n
293858689,50,2009,Yes,,12.0,16.0,n
293858689,51,2009,Yes,8.0,12.0,15.0,n
293858689,52,2009,Yes,2.0,12.0,16.0,n
293858689,2,2010,Yes,1.0,9.0,14.0,n
294684609,50,2009,Yes,1.0,15.0,18.0,y
295496915,50,2009,Yes,1.0,43.26923076923077,48.07692307692308,y
295515681,49,2009,Yes,1.0,30.76923076923077,18.0,y
296716056,52,2009,Yes,1.0,30.28846153846154,31.25,y
296722457,48,2009,Yes,1.0,20.0,15.0,y
297400192,43,2009,Yes,1.0,73.3173076923077,48.07692307692308,y
298397895,48,2009,Yes,1.0,15.0,14.0,y
299417697,2,2010,Yes,1.0,10.5,7.211538461538462,y
299707138,51,2009,Yes,1.0,9.0,8.012820512820513,y
307553014,47,2009,Yes,2.0,10.0,14.0,n
308143885,42,2009,Yes,1.0,31.0,26.442307692307693,y
308417991,43,2009,Yes,1.0,7.14,10.0,n
309448301,47,2009,Yes,1.0,6.0,15.0,n
310792406,43,2009,Yes,1.0,80.0,34.61538461538461,y
311318445,47,2009,Yes,1.0,12.740384615384615,14.423076923076923,y
312632894,48,2009,Yes,1.0,18.5,,y
313780833,42,2009,Yes,1.0,9.375,16.0,n
314505299,43,2009,Yes,3.0,15.0,15.0,n
316312309,44,2009,Yes,1.0,12.0,12.0,n
317618725,48,2009,Yes,1.0,18.0,25.0,y
319131468,48,2009,Yes,1.0,8.5,10.0,y
319888928,48,2009,Yes,1.0,12.5,12.5,y
320596487,43,2009,Yes,,35.0,28.846153846153847,y
320992735,44,2009,Yes,1.0,20.87912087912088,16.826923076923077,y
321824639,46,2009,Yes,1.0,11.5,12.0,y
323090849,43,2009,Yes,1.0,12.5,19.23076923076923,n
323597403,51,2009,Yes,1.0,40.0,40.0,y
324797349,49,2009,Yes,1.0,22.0,18.47165991902834,y
328965902,44,2009,Yes,1.0,17.0,10.0,y
330053981,42,2009,Yes,,11.0,14.0,n
330380333,52,2009,Yes,1.0,31.25,28.846153846153847,n
330436043,42,2009,Yes,1.0,21.153846153846153,20.0,y
330907260,52,2009,Yes,1.0,12.0,12.0,y
331018859,46,2009,Yes,2.0,45.67307692307692,43.26923076923077,y
331390953,48,2009,Yes,1.0,16.0,16.0,y
333990759,47,2009,Yes,,8.5,17.482517482517483,y
335211926,43,2009,Yes,,21.74,21.153846153846153,y
337517747,44,2009,Yes,,30.0,21.634615384615383,y
337658563,43,2009,Yes,,15.0,13.0,y
338216452,49,2009,Yes,1.0,15.0,16.483516483516482,y
338410841,47,2009,Yes,1.0,12.5,8.571428571428571,n
338802273,46,2009,Yes,1.0,18.0,20.0,y
338846653,44,2009,Yes,1.0,20.0,20.0,y
339154522,43,2009,Yes,2.0,20.673076923076923,19.23076923076923,y
339648384,51,2009,Yes,1.0,25.0,38.46153846153846,y
340255841,48,2009,Yes,1.0,46.41909814323608,61.18881118881119,y
340936959,42,2009,Yes,1.0,11.25,8.0,y
342480416,42,2009,Yes,,14.0,15.0,n
342480416,44,2009,Yes,6.0,13.0,15.0,n
342985326,47,2009,Yes,1.0,12.5,11.0,n
342985326,50,2009,Yes,2.0,12.0,11.0,y
343065001,46,2009,Yes,1.0,18.26923076923077,19.23076923076923,y
343298234,46,2009,Yes,1.0,24.0,24.0,y
343598350,43,2009,Yes,2.0,10.0,48.07692307692308,n
343907488,53,2009,Yes,1.0,12.5,14.0,y
344079063,2,2010,Yes,1.0,38.46153846153846,32.69230769230769,y
344299225,42,2009,Yes,1.0,58.65384615384615,72.11538461538461,y
344761993,47,2009,Yes,3.0,15.0,25.641025641025642,n
344960321,53,2009,Yes,1.0,16.0,23.076923076923077,y
345397797,48,2009,Yes,1.0,13.221153846153847,19.23076923076923,n
346190384,46,2009,Yes,1.0,18.57,18.0,y
346927685,46,2009,Yes,2.0,55.76923076923077,,y
347917641,42,2009,Yes,1.0,50.0,50.0,y
348126194,46,2009,Yes,1.0,33.65384615384615,33.65384615384615,y
349519988,43,2009,Yes,,7.5,12.820512820512821,n
349519988,45,2009,Yes,,9.0,26.923076923076923,n
349519988,47,2009,Yes,1.0,7.5,14.423076923076923,y
351319361,43,2009,Yes,,15.75,12.01923076923077,y
351513020,45,2009,Yes,1.0,27.64423076923077,36.05769230769231,y
352712842,2,2010,Yes,1.0,45.0,24.03846153846154,y
353614743,44,2009,Yes,1.0,8.0,15.0,n
354490218,47,2009,Yes,1.0,26.442307692307693,21.153846153846153,y
354897073,50,2009,Yes,1.0,29.0,32.69230769230769,y
355954461,49,2009,Yes,1.0,10.0,15.0,y
356700832,46,2009,Yes,3.0,54.63286713286713,46.0,n
356700832,49,2009,Yes,3.0,64.90384615384616,48.07692307692308,n
356857756,50,2009,Yes,1.0,35.0,35.0,y
357120222,44,2009,Yes,1.0,30.76923076923077,28.846153846153847,y
357598456,43,2009,Yes,1.0,25.0,19.23076923076923,y
357614848,47,2009,Yes,3.0,10.0,14.957264957264957,y
357922378,45,2009,Yes,1.0,8.0,9.0,y
360596885,43,2009,Yes,1.0,14.903846153846153,15.384615384615385,y
360784592,42,2009,Yes,1.0,9.0,9.0,y
362274543,50,2009,Yes,,10.0,24.03846153846154,n
364355848,42,2009,Yes,1.0,13.0,10.0,y
364437029,43,2009,Yes,,9.0,19.0,y
366642940,52,2009,Yes,1.0,7.0,15.0,y
368394452,44,2009,Yes,,18.26923076923077,16.0,y
368523849,44,2009,Yes,1.0,11.0,11.0,y
369381314,42,2009,Yes,1.0,25.0,24.03846153846154,y
369469849,43,2009,Yes,1.0,10.0,10.0,y
373013265,51,2009,Yes,1.0,49.51923076923077,42.30769230769231,y
373110274,47,2009,Yes,1.0,8.7,8.5,y
377363683,42,2009,Yes,1.0,16.025641025641026,21.634615384615383,y
378837242,47,2009,Yes,1.0,18.162393162393162,21.367521367521366,y
378938895,46,2009,Yes,1.0,20.0,38.5,y
379074976,44,2009,Yes,1.0,16.75,19.23076923076923,y
379767436,46,2009,Yes,1.0,12.75,20.0,n
381435969,48,2009,Yes,1.0,9.5,20.512820512820515,y
384953585,45,2009,Yes,,22.0,14.423076923076923,y
386880519,45,2009,Yes,1.0,11.1,13.0,y
389724766,44,2009,Yes,1.0,15.0,15.384615384615385,y
390802990,48,2009,Yes,1.0,11.0,16.0,y
391641958,42,2009,Yes,1.0,8.5,12.01923076923077,y
393489624,44,2009,Yes,1.0,18.26923076923077,19.23076923076923,y
393531341,52,2009,Yes,1.0,11.0,9.0,y
393688489,47,2009,Yes,1.0,28.846153846153847,21.53846153846154,y
394967952,43,2009,Yes,,40.625,36.05769230769231,y
395125432,44,2009,Yes,1.0,20.0,13.461538461538462,y
395399255,42,2009,Yes,1.0,39.0,25.0,y
395488568,42,2009,Yes,1.0,25.10096153846154,24.03846153846154,y
395930122,43,2009,Yes,1.0,13.0,13.0,y
395959426,44,2009,Yes,1.0,20.0,25.0,y
396334648,47,2009,Yes,1.0,25.96153846153846,25.96153846153846,y
396820109,47,2009,Yes,2.0,7.0,10.0,n
398004138,48,2009,Yes,1.0,45.45454545454545,41.95804195804196,y
398487908,43,2009,Yes,1.0,24.0,26.442307692307693,y
398951601,45,2009,Yes,1.0,11.25,11.5,y
399477649,51,2009,Yes,1.0,15.0,15.0,y
399810415,42,2009,Yes,,49.0,50.0,y
399892325,42,2009,Yes,,7.0,14.423076923076923,y
400015662,10,2010,Yes,1.0,70.0,33.65384615384615,y
400131638,43,2009,Yes,1.0,25.0,25.0,y
400384919,43,2009,Yes,1.0,16.826923076923077,30.21978021978022,n
400772347,43,2009,Yes,1.0,12.222222222222221,14.0,n
400828462,43,2009,Yes,2.0,6.666666666666667,20.0,n
400932828,42,2009,Yes,2.0,15.0,20.0,n
401359833,43,2009,Yes,1.0,10.0,24.725274725274726,y
402039659,42,2009,Yes,,30.0,28.846153846153847,y
403085190,50,2009,Yes,1.0,11.0,10.0,n
403085190,5,2010,Yes,1.0,11.0,10.0,n
